date,season,playoff,team1,team2,elo1_pre,elo2_pre
1980-12-06,1981,,NYK,MIL,1503.7961,1667.4282
1980-12-06,1981,,UTA,SEA,1424.5365,1500.9381
1980-12-07,1981,,BOS,WSB,1653.6078,1480.7662
1980-12-07,1981,,LAL,UTA,1621.6241,1413.2419
1980-12-07,1981,,PHO,GSW,1650.3241,1502.7001
1980-12-07,1981,,POR,SAS,1428.2073,1546.1807
1980-12-07,1981,,SDC,NJN,1432.473,1421.3231
1980-12-08,1981,,SEA,SAS,1512.2327,1541.8678
1980-12-09,1981,,ATL,SDC,1455.5084,1436.0184
1980-12-09,1981,,BOS,MIL,1631.6277,1654.5137
1980-12-09,1981,,CHI,PHO,1484.1943,1655.2516
1980-12-09,1981,,CLE,PHI,1441.1359,1709.1324
1980-12-09,1981,,DAL,LAL,1226.2357,1624.4723
1980-12-09,1981,,NYK,WSB,1516.7107,1502.7463
1980-12-09,1981,,POR,SEA,1432.5201,1517.5638
1980-12-09,1981,,UTA,SAS,1410.3938,1536.5366
1980-12-10,1981,,DEN,DAL,1406.2548,1223.528
1980-12-10,1981,,DET,ATL,1322.4949,1467.8801
1980-12-10,1981,,GSW,SEA,1497.7726,1505.9768
1980-12-10,1981,,HOU,LAL,1497.7643,1627.1801
1980-12-10,1981,,IND,PHO,1538.1488,1665.4211
1980-12-10,1981,,KCK,SDC,1477.8627,1423.6467
1980-12-10,1981,,NJN,NYK,1417.7777,1520.2114
1980-12-10,1981,,PHI,CHI,1715.0831,1474.0248
1980-12-10,1981,,WSB,BOS,1499.2456,1644.9297
1980-12-11,1981,,CLE,IND,1435.1852,1550.9764
1980-12-11,1981,,MIL,NYK,1641.2117,1525.0001
1980-12-11,1981,,SAS,KCK,1553.9054,1483.9032
1980-12-12,1981,,BOS,NJN,1648.9818,1412.989
1980-12-12,1981,,CHI,UTA,1471.6545,1393.025
1980-12-12,1981,,DAL,SDC,1220.9215,1417.6062
1980-12-12,1981,,DET,CLE,1314.8717,1429.915
1980-12-12,1981,,PHI,WSB,1717.4534,1495.1935
1980-12-12,1981,,POR,HOU,1444.1072,1494.1488
1980-12-12,1981,,SEA,LAL,1515.5332,1630.7955
1980-12-13,1981,,ATL,MIL,1475.5033,1645.6487
1980-12-13,1981,,CHI,BOS,1479.2052,1651.6621
1980-12-13,1981,,CLE,UTA,1421.7494,1385.4744
1980-12-13,1981,,GSW,HOU,1488.2162,1487.7751
1980-12-13,1981,,KCK,DAL,1476.5784,1228.6248
1980-12-13,1981,,NYK,DET,1520.5631,1323.0374
1980-12-13,1981,,SAS,DEN,1561.2302,1408.8612
1980-12-13,1981,,WSB,IND,1492.1694,1556.2466
1980-12-14,1981,,LAL,GSW,1638.0996,1481.4841
1980-12-14,1981,,MIL,SAS,1638.5459,1567.1049
1980-12-14,1981,,NJN,PHI,1410.3087,1720.4774
1980-12-14,1981,,PHO,POR,1652.5935,1450.4808
1980-12-14,1981,,SDC,SEA,1409.903,1508.2291
1980-12-16,1981,,ATL,NJN,1482.6061,1406.9998
1980-12-16,1981,,DAL,SAS,1227.0599,1560.1099
1980-12-16,1981,,DEN,KCK,1402.9866,1478.1432
1980-12-16,1981,,IND,PHI,1547.7595,1723.7864
1980-12-16,1981,,NYK,UTA,1522.472,1380.7202
1980-12-16,1981,,SDC,LAL,1420.2167,1641.1014
1980-12-16,1981,,WSB,CHI,1500.6565,1470.9368
1980-12-17,1981,,BOS,CHI,1659.9305,1478.2524
1980-12-17,1981,,DET,NYK,1321.1284,1526.9655
1980-12-17,1981,,GSW,POR,1478.4823,1467.828
1980-12-17,1981,,HOU,SAS,1494.5072,1562.8115
1980-12-17,1981,,NJN,MIL,1400.1464,1645.5409
1980-12-17,1981,,PHI,CLE,1727.3601,1426.5035
1980-12-17,1981,,PHO,DAL,1635.2463,1224.3583
1980-12-17,1981,,SEA,KCK,1497.9154,1492.8602
1980-12-18,1981,,CLE,DEN,1423.9513,1388.2695
1980-12-18,1981,,MIL,DET,1636.7113,1311.9978
1980-12-18,1981,,SDC,DAL,1430.6139,1223.4856
1980-12-18,1981,,UTA,ATL,1376.2268,1489.4595
1980-12-19,1981,,BOS,HOU,1663.8754,1485.8516
1980-12-19,1981,,CHI,MIL,1474.3076,1638.4565
1980-12-19,1981,,DET,IND,1310.2526,1544.1858
1980-12-19,1981,,LAL,POR,1630.7042,1474.7627
1980-12-19,1981,,PHI,NJN,1729.9124,1408.976
1980-12-19,1981,,PHO,UTA,1636.119,1365.1508
1980-12-19,1981,,SAS,GSW,1571.4672,1471.5476
1980-12-19,1981,,SEA,ATL,1503.3983,1500.5355
1980-12-19,1981,,WSB,NYK,1493.3408,1536.0961
1980-12-20,1981,,CHI,HOU,1496.8304,1482.318
1980-12-20,1981,,CLE,BOS,1429.0963,1667.4089
1980-12-20,1981,,DAL,GSW,1221.0565,1465.9684
1980-12-20,1981,,KCK,IND,1487.3773,1535.6234
1980-12-20,1981,,NYK,DEN,1545.5232,1383.1245
1980-12-20,1981,,POR,ATL,1487.7028,1496.8561
1980-12-20,1981,,UTA,SDC,1362.668,1433.043
1980-12-21,1981,,LAL,SAS,1617.7642,1577.0464
1980-12-21,1981,,MIL,HOU,1615.9337,1470.6862
1980-12-21,1981,,POR,PHO,1491.582,1638.6018
1980-12-21,1981,,SDC,DET,1445.9755,1318.8149
1980-12-22,1981,,SEA,PHO,1507.0778,1647.7865
1980-12-23,1981,,ATL,WSB,1492.9768,1483.9137
1980-12-23,1981,,BOS,DEN,1671.348,1380.8126
1980-12-23,1981,,CHI,NYK,1508.4623,1547.8351
1980-12-23,1981,,CLE,KCK,1425.1572,1479.8042
1980-12-23,1981,,DAL,UTA,1218.0229,1349.7355
1980-12-23,1981,,HOU,GSW,1463.1772,1469.002
1980-12-23,1981,,IND,NJN,1543.1965,1407.3357
1980-12-23,1981,,PHO,DET,1657.2068,1312.9133
1980-12-23,1981,,POR,LAL,1482.3973,1624.5455
1980-12-25,1981,,NYK,BOS,1543.4242,1672.6696
1980-12-25,1981,,PHO,SAS,1658.2397,1570.265
1980-12-25,1981,,POR,GSW,1491.366,1487.4153
1980-12-25,1981,,WSB,NJN,1474.537,1402.4958
1980-12-26,1981,,CLE,CHI,1419.4927,1512.8732
1980-12-26,1981,,DAL,DEN,1211.7844,1379.4911
1980-12-26,1981,,DET,HOU,1311.8804,1444.7639
1980-12-26,1981,,KCK,PHI,1485.4688,1731.5526
1980-12-26,1981,,LAL,IND,1615.5769,1548.0364
1980-12-26,1981,,NJN,ATL,1396.0852,1502.3535
1980-12-26,1981,,SEA,POR,1497.6575,1494.0133
1980-12-26,1981,,UTA,GSW,1355.974,1484.7679
1980-12-27,1981,,ATL,BOS,1514.3252,1681.3821
1980-12-27,1981,,CHI,DET,1517.8232,1297.426
1980-12-27,1981,,DEN,PHI,1368.0446,1737.1525
1980-12-27,1981,,GSW,SEA,1488.3922,1486.7823
1980-12-27,1981,,MIL,DAL,1623.4426,1223.231
1980-12-27,1981,,NYK,KCK,1534.7117,1479.8689
1980-12-27,1981,,PHO,LAL,1665.448,1617.5443
1980-12-27,1981,,SAS,UTA,1563.0568,1352.3497
1980-12-27,1981,,SDC,IND,1451.8771,1546.069
1980-12-27,1981,,WSB,HOU,1480.9476,1459.2183
1980-12-28,1981,,LAL,PHI,1611.9926,1723.8578
1980-12-28,1981,,NJN,KCK,1384.1135,1477.777
1980-12-29,1981,,CLE,DAL,1414.5426,1222.1631
1980-12-30,1981,,ATL,DET,1508.9194,1295.5974
1980-12-30,1981,,CHI,NJN,1519.6519,1378.392
1980-12-30,1981,,DEN,IND,1381.3392,1534.6802
1980-12-30,1981,,HOU,SDC,1450.0123,1463.2659
1980-12-30,1981,,KCK,GSW,1483.4985,1493.5098
1980-12-30,1981,,NYK,DAL,1536.8036,1219.2078
1980-12-30,1981,,PHO,BOS,1670.9998,1686.7878
1980-12-30,1981,,POR,PHI,1504.8884,1715.7844
1980-12-30,1981,,SAS,SEA,1567.4559,1481.6648
1980-12-30,1981,,UTA,LAL,1347.9506,1620.0659
1980-12-30,1981,,WSB,MIL,1490.1536,1624.5105
1981-01-01,1981,,HOU,UTA,1455.4745,1365.5028
